client	agemate	info	comp	arith	simil	vocab	digit	pictcomp	parang	block	object	coding
3	3	8	7	13	9	12	9	6	11	12	7	9
4	3	9	6	8	7	11	12	6	8	7	12	14
5	3	13	18	11	16	15	6	18	8	11	12	9
6	3	8	11	6	12	9	7	13	4	7	12	11
7	2	10	3	8	9	12	9	7	7	11	4	10
8	3	11	7	15	12	10	12	6	12	10	5	10
9	3	6	13	7	8	11	6	14	9	14	14	10
10	2	7	10	10	15	10	7	8	14	11	10	12
12	3	10	8	8	14	9	9	10	11	10	9	6
13	3	9	10	8	11	9	11	10	12	9	13	13
14	3	11	15	13	14	12	7	15	12	10	10	4
15	3	12	11	8	11	13	13	14	7	11	9	10
16	2	8	12	12	15	13	13	14	17	9	12	7
17	0	9	5	7	11	13	7	13	10	15	15	11
18	3	9	15	8	15	13	8	11	13	11	11	7
19	1	12	11	9	17	17	7	17	12	11	11	5
20	2	12	10	12	12	12	12	7	7	10	14	8
21	1	5	6	5	8	6	5	11	8	10	11	5
22	2	12	12	9	14	13	8	6	7	11	11	12
24	2	11	10	9	10	8	8	9	7	12	6	2
25	3	7	6	8	9	8	12	7	10	9	8	7
26	2	10	6	5	10	6	9	10	10	8	16	12
27	2	9	7	8	14	12	12	6	12	8	8	14
28	1	7	8	7	7	8	5	8	5	9	12	8
29	3	12	13	12	11	15	9	11	11	11	14	15
31	1	8	6	7	5	6	8	6	7	6	5	11
33	3	13	16	10	15	14	5	10	9	13	14	10
34	3	8	6	6	5	7	7	10	6	9	5	11
35	0	8	4	8	13	10	7	9	8	4	11	5
36	0	10	15	10	12	10	15	9	12	7	11	10
38	3	10	10	10	12	13	14	14	15	12	9	6
39	2	9	13	10	14	13	12	10	9	13	12	15
40	3	13	9	11	12	11	8	11	9	11	11	7
41	2	12	9	6	12	12	7	10	9	9	13	9
42	3	8	10	9	11	8	11	8	6	12	11	4
43	1	10	7	10	5	12	14	10	9	3	3	10
44	3	11	9	8	11	12	6	10	5	11	8	8
45	1	15	6	11	10	16	8	12	10	11	13	14
47	2	9	11	9	12	10	8	7	7	6	8	11
48	3	10	10	10	12	10	9	13	13	12	10	10
51	2	5	8	6	8	7	8	8	10	10	9	5
52	1	8	11	8	7	5	6	14	10	5	8	8
54	3	5	8	6	3	11	9	10	5	10	9	5
55	2	9	11	8	13	10	9	7	13	15	12	12
56	2	13	14	6	12	16	16	17	10	10	14	6
57	3	10	10	11	12	8	8	10	12	11	6	10
59	2	14	14	10	10	15	10	14	15	14	12	8
60	2	8	11	6	14	13	7	9	14	12	8	9
64	3	11	8	5	11	8	5	12	10	5	13	5
65	3	10	8	9	13	12	4	12	9	11	12	7
66	3	9	8	5	8	10	7	7	5	7	8	4
67	2	7	5	6	10	8	7	11	12	12	14	9
68	1	7	10	11	10	9	8	8	7	7	6	9
69	3	5	7	6	10	9	7	7	9	9	10	5
70	0	10	11	8	8	10	7	8	5	9	15	11
73	1	9	9	6	6	12	7	9	10	10	8	6
74	0	8	15	9	9	11	8	10	9	11	7	12
75	2	10	12	11	13	10	7	11	11	11	12	0
76	2	13	14	11	15	17	7	11	16	15	11	9
78	3	8	9	9	8	10	10	7	7	6	8	8
79	3	10	9	10	10	8	9	8	11	8	10	9
80	2	17	14	14	14	14	10	10	11	12	12	10
82	1	5	6	11	6	8	7	6	10	9	7	8
83	2	6	11	11	11	7	10	11	9	6	12	10
84	1	10	10	11	8	12	6	13	10	9	12	10
85	3	10	7	12	12	17	9	13	12	5	12	7
86	2	11	10	6	11	14	9	10	10	9	14	6
87	2	9	10	6	11	12	5	11	11	7	13	7
90	3	5	7	7	10	8	8	9	11	12	11	12
92	2	15	18	11	17	16	14	19	10	17	16	8
93	1	12	10	9	6	15	12	9	7	13	11	12
95	1	14	15	14	13	13	8	11	15	13	12	6
99	2	14	9	9	10	13	8	2	8	2	3	7
100	1	9	9	7	7	9	9	9	9	11	14	10
101	2	3	8	8	9	8	4	9	10	8	11	3
103	2	12	14	10	5	13	8	4	14	12	14	8
104	2	9	14	12	10	10	5	11	9	14	16	9
105	2	8	8	8	9	11	7	11	5	8	8	12
107	1	12	8	9	9	10	11	10	11	8	9	5
108	2	5	7	7	6	9	7	7	14	9	8	10
109	1	10	10	11	15	12	10	7	9	4	10	4
111	1	12	9	13	13	12	11	15	14	16	13	8
112	2	13	11	12	10	11	13	11	15	13	10	11
113	2	10	13	10	9	9	13	13	10	12	13	11
115	3	12	11	14	14	15	9	13	14	16	12	13
116	2	13	14	11	12	14	9	9	11	10	13	6
117	1	8	8	9	7	9	4	10	10	10	6	6
118	3	6	12	7	2	10	12	8	9	10	8	9
119	3	12	14	11	18	16	11	13	14	10	13	8
120	2	11	9	8	9	8	7	8	15	10	11	11
122	2	10	10	11	8	13	6	10	9	11	9	9
123	3	13	12	10	15	11	12	13	10	13	12	2
127	0	10	14	11	15	14	16	13	11	15	13	12
128	1	5	9	8	10	11	8	11	11	12	12	9
130	3	4	10	8	9	10	4	10	11	11	13	9
131	1	10	13	10	11	12	6	13	11	13	12	8
133	1	10	9	8	13	11	8	13	7	7	14	5
134	3	5	8	8	8	7	9	12	8	10	10	5
136	2	19	13	13	18	19	10	11	13	11	12	4
139	1	9	8	9	9	8	11	10	11	8	10	8
140	3	10	6	8	7	3	6	10	15	10	17	4
142	1	7	9	9	7	9	9	10	11	9	9	12
144	2	10	12	8	11	13	10	11	13	13	15	10
145	1	5	9	12	8	10	11	12	8	12	11	8
146	3	13	14	14	16	10	14	14	12	13	11	9
147	1	8	8	8	10	9	8	13	10	10	10	6
148	1	5	11	7	12	10	7	13	14	12	14	13
149	3	8	10	10	5	11	7	9	9	8	11	5
150	2	6	6	8	7	10	8	7	2	3	8	7
151	3	11	11	9	15	14	9	12	9	12	14	10
154	3	11	9	8	12	14	8	13	10	13	9	6
155	2	7	9	6	7	9	9	11	10	9	14	8
156	2	12	14	9	14	14	8	12	12	10	10	6
157	1	11	10	10	9	10	8	12	11	11	12	12
158	1	9	12	11	11	10	11	14	13	12	12	9
162	3	10	14	13	15	10	5	14	13	14	12	11
163	2	14	14	6	17	12	11	13	15	13	11	4
164	1	7	10	10	11	10	9	14	8	10	11	6
165	1	8	6	5	9	6	8	10	10	11	10	8
166	3	11	12	7	11	11	6	18	12	8	11	5
167	1	6	8	8	16	11	11	12	10	10	14	9
171	1	11	9	10	7	9	7	13	6	12	9	11
173	3	13	16	11	18	13	6	12	11	13	10	6
174	1	15	15	12	14	19	7	16	9	14	11	8
176	3	7	9	7	11	12	9	14	10	11	13	7
177	1	10	9	7	10	9	9	12	11	9	11	6
179	1	4	11	7	4	9	0	8	6	8	8	13
180	3	9	0	8	9	8	7	10	13	8	10	12
181	3	10	10	13	9	9	8	11	11	13	13	7
182	3	8	9	8	5	6	4	9	9	9	8	7
183	2	7	7	10	11	9	7	8	9	9	8	9
184	3	9	12	10	11	12	13	13	13	12	16	12
185	3	3	6	6	12	6	7	8	12	6	11	4
186	3	8	11	8	12	10	6	10	9	11	17	9
187	2	5	11	9	8	9	8	8	10	11	12	9
188	1	4	12	5	9	10	12	10	9	8	10	10
189	2	14	10	8	11	16	14	4	12	7	10	14
190	2	12	6	10	6	7	11	2	11	11	10	5
191	2	8	9	8	10	9	8	8	11	11	14	13
192	3	8	8	8	6	8	7	14	11	11	11	7
193	2	12	9	9	14	11	7	7	8	8	10	7
195	3	5	7	6	4	9	6	12	15	14	12	7
196	2	10	13	6	15	14	11	12	11	9	7	12
197	1	9	10	9	10	9	8	14	15	9	13	9
198	3	10	9	8	10	11	7	12	11	12	15	6
199	3	10	11	7	10	10	11	10	13	12	12	8
201	2	11	10	9	15	13	11	14	12	10	12	5
202	3	9	7	9	8	6	10	8	11	10	10	8
204	0	10	11	10	11	12	6	12	13	14	15	6
205	3	9	10	8	8	9	12	10	11	9	9	7
206	3	7	11	7	12	9	9	15	12	15	14	6
208	3	12	14	8	12	8	13	11	13	8	13	13
209	3	9	7	9	10	11	8	8	10	11	9	9
211	1	13	17	14	15	15	14	14	8	10	13	12
214	3	15	16	16	14	16	12	11	11	18	18	12
215	2	10	10	4	12	11	7	10	10	14	12	6
216	1	6	10	7	9	9	8	12	14	15	11	11
218	1	13	10	10	12	14	11	10	11	8	9	14
220	3	9	12	7	8	9	8	13	6	9	8	7
222	3	7	8	9	11	8	10	10	10	11	11	9
223	0	12	10	9	11	11	12	9	8	11	16	5
225	3	11	11	9	9	9	8	16	14	12	19	12
226	2	5	10	7	9	10	5	14	12	9	10	12
227	1	11	7	6	9	7	8	14	12	10	13	10
228	2	15	12	12	13	12	8	15	14	11	10	6
230	1	4	6	9	9	6	6	11	7	11	7	8
231	3	13	12	13	17	12	13	15	14	11	9	11
232	2	7	7	7	8	12	9	12	9	15	8	12
